包括	comprise
具体实施	in specific embodiment.
具体实施方式	Detailed description
具体来说	specifically
具有标记的至少一个第一连通域组成的所述光晕区域	halo region consisting of at least one first connected regions with labels
实体信息	entity informatio
实体卡片	physical card
实体识别	entity recognition
实施例	embodiment
实施例	embodiments
实用新型	utility
实际需求	actual demand
实际打印	actual printing
实现	effectuate
实时	in a real-time
实时高度	real-time height
实时信息	real-time information
实时交通服务费	real-time transport service fee
实时运行数据	real-time operational data
实时电流	real-time current
实时电压	real-time voltage
实时待支付金额	real-time price to be paid
实时地	in real time
实时角度	real-time angle
实时温度	real-time temperature
实验方案	experiment
方法的示例性流程图	flowchart illustrating an exemplary process for
方程	equation
方位角	azimuth
方差分析法	analysis of variance
示例实施例	exemplary embodiment
示例性实施例	exemplary embodiment
例如	for example
例如	e.g.,
当前红绿灯状态	current traffic light status
当前位置	current position
当前打印像素	current printing pixel
当前打印位置	current printing position
当前病情	current disease condition
前端部	front end
红绿灯状态获取模块	The green light status acquiring module
红灯状态	red light status
红外传感器	infrared sensor
绿灯状态	green light status
状态列表	state list
黄灯状态	yellow light status
抓拍图片	Snapshot picture
图 标记：	In FIG. ,
图片处理方法	image processing method
图片处理系统	image processing system
图片预览界面	image preview interface
图片选择界面	picture selection interface
图片识别	picture recognition
图像	image
图像拍摄装置	image shooting device
图像信号	image signal
图像标识模块	image identification module
图像元素	image elements
图像特征	image feature
图像输入设备	image input device
图像输出装置	image output device
图像接收模块	image receive module
图像发送模块	image send module
图像调整	image adjustment
图像采集设备	image capturing device
图像审核模块	image verification module
图库图案显示指令	gallery pattern display instruction
图库分类目录	library catalogues
图1标记：	In FIG. 1,
图案获取模块	pattern obtaining module
图案目录	pattern catalog
图案识别模块	pattern recognition module
图案固化完成指令	pattern curing completion command
图形处理器	graphics processor
图形处理器（GPU）	graphics processing unit (GPU)
光晕区域	halo region
光晕提取模块	The halo extracting module
光能	light energy
光电二极管	hotodiode
光电编码器	optical encoder
光电倍增管	photomultiplier tube
光电管	phototube
光电三极管	phototransistor
光纤式光电传感器	fiber optic sensor
光纤网络	optical fiber network
光强信号	light intensity signal
光照装置	lighting device
光学通道	optical channel
光敏二极管	photodiode
光敏电阻	photoresistor
光敏三极管	phototransistor
光吸收层	light absorbing layer
光栅信号计数	raster signal count
光栅尺	grating ruler
光栅传感器	raster sensor
光伏跟踪系统	PV tracking system
区域	region
区域增长法	region growing method
区域块	region unit
区域网络	wireless local area network
第一方向	first direction
第一图像	first image
第一图案	first pattern
第一图案目录	first pattern catalog
第一区域	first region
第一颜色	first color
第一颜色范围	first color range
第一信号	first signal
第一信号发射器	first signal transmitter
第一通讯连接	first communication connect
第一通讯装置	first communication port
第一通讯接口	first communication port
第一处理器	first processor
第一生成单元	first generation unit
第一网络分支	first network branch
第一预设数量	first preset number
第一输入图像	first input image
第一输入单元	the first input unit
第一输入端	first input
第一行	first line
第一侧打印边缘位置	first side printing edge position
第一开锁模式	first unlock mode
第一端部模块	first end portion module
第一接收模块	first receiving module
第一账号	first account
第一账户	first account
第一速度差值	first speed difference
第一坐标获取模块	first coordinate obtaining module
第一限位装置	first limit device
第一类成员	first member
第一驱动芯片	first driving chip
第一驱动装置	first driver
第一撤销集合	first revocation set
第一界面	first interface
第一棘齿部	first ratchet portion
第一马达	first motor
第二图像	second image
第二图案	second pattern
第二图案目录	second pattern catalog
第二图案显示模块	second pattern displaying module
第二区域	second pattern
第二颜色	second color
第二颜色范围判断单元	The second color range identification unit
第二信号	second signal
第二通讯连接	second communication connect
第二通讯装置	second communication port
第二通讯接口	second communication port
第二生成单元	second generation unit
第二网络分支	second network branch
第二预设数量	second preset number
第二输入单元	the second input unit
第二行	second line
第二侧打印边缘位置	second side printing edge position
第二端部模块	second end portion module
第二接收模块	second receiving module
第二时间段	the second time period
第二账号	second account
第二账户	second account
第二速度差值	second speed difference
第二坐标获取模块	second coordinate obtaining module
第二限位装置	second limit device
第二类成员	second member
第二驱动芯片	second driving chip
第二驱动装置	second driver
第二界面	second interface
第二马达	second motor
第三图案	third pattern
第三区域	third region
第三通讯接口	third communication port
第三生成单元	third generation unit
第三接收模块	third receiving module
第四区域	fourth region
第四生成单元	fourth generation unit
第五区域	fifth region
第六区域	sixth region
第七区域	seventh region
第八区域	eighth region
一体的结构	integrated structure
一个用户	a user
一个或多个	one or more
一个充电接口	charging connector
一组指令	the set of instructions
一种或其任意组合	or the like, or any combination thereof
一种或多种	one or more
一种或多种的组合	or the like,or any combination thereof
一种或多种的组合	or the like, or any combination thereof
一种或几种的组合	any combination thereof
一种或几种的组合	or the like, or any combination thereof
一种或几种的任意组合	or the like, or any combination thereof
